ID,NAME,NGF,E3D
0,100,'+36.290',101700
1,201,'+34.700',101110
2,202,'+26.000',91410
3,203,+99.999',99999
4,204,+99.999',99999
5,300,'+26.000',91410
6,301,+99.999',99999
7,302,+99.999',99999
8,400,'+26.000',91410
9,500,+99.999',99999
10,600,'+26.000',91410
11,601,+99.999',99999
12,602,+99.999',99999
13,650,'+26.000',91410
14,651,+99.999',99999
15,652,+99.999',99999
16,700,'+29.000',94410
17,701,+99.999',99999
18,702,+99.999',99999
19,900,+99.999',99999
20,950,+99.999',99999
21,530,+99.999',99999
22,550,+99.999',99999




