AREA,TYPE,TAG,PROGRESS
30RK1,A,30RK1-IN/TRAYS_100000/30-CT-40,30
30RK1,A,30RK1-IN/TRAYS_100000/30-CT-20,30
30RK1,C,30-IF-02,30
30RK1,A,30RK1-IN/TRAYS_100000/30-CT-30,30
30RK1,A,30RK1-IN/TRAYS_100000/30-CT-43,30
30RK1,A,30RK1-IN/TRAYS_100000/30-CT-46,30
30RK1,A,30RK1-IN/TRAYS_100000/30-CT-34,30
30RK1,A,30RK1-IN/TRAYS_107000/30-CT-24,30
30RK1,A,30RK1-IN/TRAYS_100000/30-CT-23,30
30RK1,A,30RK1-IN/TRAYS_100000/30-CT-25,30
30RK1,C,30-IF-04,30
30RK1,A,30RK1-IN/TRAYS_100000/30-CT-10,30
30A11,A,30A11-IN/TRAYS_100000/30-CT-33,30
30A12,C,30-IF-09,30
30A12,C,30-IF-21,30
30A12,C,30-IF-06,30
30A12,A,30A12-IN/TRAYS_100000/30-CT-32,30
30A12,A,30A12-IN/TRAYS_100000/30-CT-35,30
30A12,A,30A12-IN/TRAYS_100000/30-CT-36,30
30A12,C,30-IF-07,30
30A12,C,30-IF-08,30
30A12,A,30A12-IN/TRAYS_100000/30-CT-31,30
30A13,C,30-IF-50,30
30A13,A,30A13-IN/TRAYS_100000/30-CT-21,30
30A13,C,30-IF-10,30
30A13,C,30-IF-51,30
30A13,A,30A13-IN/TRAYS_100000/30-CT-22,30
30A13,A,30A13-IN/TRAYS_100000/30-CT-26,30
30A14,C,30-IF-11,30
30A14,C,30-IF-12,30
30A14,C,30-IF-13,30
30A14,A,30A14-IN/TRAYS_100000/30-CT-11,30
30A14,A,30A14-IN/TRAYS_100000/30-CT-12,30
30A14,A,30A14-IN/TRAYS_100000/30-CT-13,30
30A14,C,30-IF-40,30
30A14,A,30A14-IN/TRAYS_118000/30-CT-14,30
30A15,C,30-IF-41,30
30A15,A,30A15-IN/TRAYS_100000/30-CT-41,30
30A15,A,30A15-IN/TRAYS_100000/30-CT-42,30
30A15,A,30A15-IN/TRAYS_107000/30-CT-45,30
30A15,A,30A15-IN/TRAYS_100000/30-CT-44,30
30A15,D,PT0101-PT1230,30
30A15,C,30-IF-01,30
30A15,C,30-IF-03,30
30A15,C,30-IF-20,30
